webapp.COMMON.unit_lora_114|mg/kWh
webapp.COMMON.unit_lora_115|g/kWh
webapp.COMMON.unit_lora_116|g/GJ
webapp.COMMON.unit_lora_117|g/m3
webapp.COMMON.unit_lora_118|%
webapp.COMMON.unit_lora_119|% LIE
webapp.COMMON.unit_lora_120|g/an
webapp.COMMON.unit_lora_128|lux
webapp.COMMON.unit_lora_129|fc
webapp.COMMON.unit_lora_130|W/m2
webapp.COMMON.unit_lora_131|klux
webapp.COMMON.unit_lora_132|kfc
webapp.COMMON.unit_lora_144|db
webapp.COMMON.unit_lora_160|mV
webapp.COMMON.unit_lora_161|V
webapp.COMMON.unit_lora_162|µA
webapp.COMMON.unit_lora_163|mA
webapp.COMMON.unit_lora_164|A
webapp.COMMON.unit_lora_165|Ohms
webapp.COMMON.unit_lora_176|wbgt
webapp.COMMON.unit_lora_177|W/m2/K
webapp.COMMON.unit_lora_192|s
webapp.COMMON.unit_lora_193|min
webapp.COMMON.unit_lora_194|h
webapp.COMMON.unit_lora_208|mm
webapp.COMMON.unit_lora_209|in
webapp.COMMON.unit_lora_210|m
webapp.COMMON.unit_lora_255|Comptage
webapp.COMMON.source_0|Application
webapp.COMMON.source_1|Appareil
webapp.COMMON.source_2|Alarme Deportée
webapp.COMMON.source_3|Voie Calculée
webapp.COMMON.source_4|Base De Communication
webapp.COMMON.source_5|Cloud
webapp.COMMON.code_1|Application Lancée
webapp.COMMON.code_2|Application Fermée
webapp.COMMON.code_3|Modification Préférences
webapp.COMMON.code_4|Modification Paramètres Messagerie
webapp.COMMON.code_10|Connexion Utilisateur
webapp.COMMON.code_11|Deconnexion Utilisateur
webapp.COMMON.code_12|Connexion Echouée
webapp.COMMON.code_13|Ajout Utilisateur
webapp.COMMON.code_14|Modification Utilisateur
webapp.COMMON.code_15|Suppression Utilisateur
webapp.COMMON.code_16|Changement Password
webapp.COMMON.code_17|Ajout Groupe
webapp.COMMON.code_18|Modification Groupe
webapp.COMMON.code_19|Suppression Groupe
webapp.COMMON.code_20|Gestion Utilisateurs Modifiée
webapp.COMMON.code_100|Appairage Appareil RF
webapp.COMMON.code_101|Suppression Appareil RF
webapp.COMMON.code_102|Remplacement Appareil RF
webapp.COMMON.code_103|Placement Appareil RF
webapp.COMMON.code_104|Retrait Appareil RF
webapp.COMMON.code_105|Griser Appareil RF
webapp.COMMON.code_106|Degriser Appareil RF
webapp.COMMON.code_107|Configuration Verification Reseau
webapp.COMMON.code_108|Planification Vidages
webapp.COMMON.code_109|Planification Mesures
webapp.COMMON.code_201|Configuration Appareil
webapp.COMMON.code_202|Dechargement Appareil
webapp.COMMON.code_203|Lancement Campagne Par PC
webapp.COMMON.code_204|Arrêt Campagne Par PC
webapp.COMMON.code_205|Vidage Appareil
webapp.COMMON.code_206|Lecture Mesures Appareil
webapp.COMMON.code_207|Test Communication
webapp.COMMON.code_1001|Produit Ajouté
webapp.COMMON.code_1002|Infos Produit Modifiées
webapp.COMMON.code_1003|Produit Supprime
webapp.COMMON.code_2001|Alarme Deportée Ajoutée
webapp.COMMON.code_2002|Alarme Deportée Modifiée
webapp.COMMON.code_2003|Alarme Deportée Supprimée
webapp.COMMON.code_2004|Pilotage Relais Appareil
webapp.COMMON.code_2005|Alarme Email Ajoutée
webapp.COMMON.code_2006|Alarme Email Modifiée
webapp.COMMON.code_2007|Alarme Email Supprimée
webapp.COMMON.code_2008|Alarme Email Envoyée
webapp.COMMON.code_3001|Démarrage Service
webapp.COMMON.code_3002|Arrêt Service
webapp.COMMON.code_5001|Connexion échouée
webapp.COMMON.code_5002|Connexion rétablie
webapp.COMMON.code_5003|Echec envoi de données
webapp.COMMON.code_5004|Requête au serveur
webapp.COMMON.probe_1|Température CTN Ambiance
webapp.COMMON.probe_2|Température CTN Interne
webapp.COMMON.probe_3|Température CTN Déportée
webapp.COMMON.probe_4|Courant 0/20 mA
webapp.COMMON.probe_5|Courant 4/20 mA
webapp.COMMON.probe_6|Tension 0/10 V
webapp.COMMON.probe_7|Tension 0/2500 mV
webapp.COMMON.probe_8|Thermo-Hygro SHT Ambiance
webapp.COMMON.probe_9|Thermo-Hygro SHT Déportée
webapp.COMMON.probe_10|Luminosité
webapp.COMMON.probe_11|Température Thermocouple K
webapp.COMMON.probe_12|Température Thermocouple T
webapp.COMMON.probe_13|Température Thermocouple J
webapp.COMMON.probe_14|Température PT100 Déportée
webapp.COMMON.probe_15|Thermo-Hygro Ambiance
webapp.COMMON.probe_16|Thermo-Hygro Inox Déportée
webapp.COMMON.probe_17|Pince ampèremétrique 20 A
webapp.COMMON.probe_18|Pince ampèremétrique 50 A
webapp.COMMON.probe_19|Pince ampèremétrique 100 A
webapp.COMMON.probe_20|Pince ampèremétrique 200 A
webapp.COMMON.probe_21|Pince ampèremétrique 600 A
webapp.COMMON.probe_22|Thermo-Hygro Plastique Déportée
webapp.COMMON.probe_23|Température KT20
webapp.COMMON.probe_24|Température Thermocouple S
webapp.COMMON.probe_25|Détection impulsions
webapp.COMMON.probe_26|Compteur impulsions
webapp.COMMON.probe_27|Pression 1000 Pa
webapp.COMMON.probe_28|Pression 10000 Pa
webapp.COMMON.Probe_29|Cellule CO2
webapp.COMMON.Probe_30|Lumière
webapp.COMMON.Probe_lora_1|Thermocouple K
webapp.COMMON.Probe_lora_2|Thermocouple J
webapp.COMMON.Probe_lora_3|Thermocouple T
webapp.COMMON.Probe_lora_4|Thermocouple N
webapp.COMMON.Probe_lora_5|Thermocouple S
webapp.COMMON.Probe_lora_6|Courant 0-20mA
webapp.COMMON.Probe_lora_7|Courant 4-20mA
webapp.COMMON.Probe_lora_8|Tension 0-5V
webapp.COMMON.Probe_lora_9|Tension 0-10V
webapp.COMMON.Probe_lora_10|Compteur impulsion
webapp.COMMON.Probe_lora_11|Pince ampèremétrique 50A
webapp.COMMON.Probe_lora_12|Pince ampèremétrique 100A
webapp.COMMON.Probe_lora_13|Pince ampèremétrique 200A
webapp.COMMON.Probe_lora_14|Pince ampèremétrique 600A
webapp.COMMON.Probe_lora_15|Température CTN externe
webapp.COMMON.Probe_lora_16|température PT100 externe
webapp.COMMON.Probe_lora_17|Température interne
webapp.COMMON.Probe_lora_18|Pression d'eau 0-10 bar
webapp.COMMON.Probe_lora_19|Sonde hygro-température
webapp.COMMON.Probe_lora_20|Sonde hygro-température inox
webapp.COMMON.Probe_lora_21|Sonde hygro-température ABS/amb
webapp.COMMON.Probe_lora_22|Sonde hygro-température interne
webapp.COMMON.Probe_lora_23|Lumière interne
webapp.COMMON.Probe_lora_24|CO2 interne
webapp.COMMON.Probe_lora_25|Pression atmosphérique interne
webapp.COMMON.Probe_lora_26|Pression interne 1000 Pa
webapp.COMMON.Probe_lora_27|Pression interne 10000 Pa
webapp.COMMON.Probe_lora_28|Pression d'eau 0-20 bar
webapp.COMMON.techAlarm_1|Batterie changée
webapp.COMMON.techAlarm_2|Batterie faible
webapp.COMMON.techAlarm_3|Perte de communication
webapp.COMMON.techAlarm_3_more|Aucune communication avec le serveur depuis 1heure
webapp.COMMON.techAlarm_4|Communication rétablie
webapp.COMMON.techAlarm_666|Erreur de traitement de données
webapp.COMMON.techAlarm_510|Erreur de traitement de données.
webapp.COMMON.techAlarm_510_more|510: Pas de réponse de la base de données
webapp.COMMON.techAlarm_511|Erreur de traitement de données.
webapp.COMMON.techAlarm_511_more|511: Version de configuration inconnu.
webapp.COMMON.techAlarm_512|Erreur de traitement de données.
webapp.COMMON.techAlarm_512_more|512: Appareil non configuré
webapp.COMMON.techAlarm_506|Erreur de traitement de données.
webapp.COMMON.techAlarm_506_more|506: Configuration de l'appareil et données reçues incohérentes
webapp.COMMON.techAlarm_514|Erreur de traitement de données.
webapp.COMMON.techAlarm_514_more|514: Erreur de base de données.
webapp.LostPasswordForm.mail|Adresse email
webapp.LostPasswordForm.errorWrongMail|Adresse mail incorrecte
webapp.LostPasswordForm.title|Identifiant ou mot de passe oublié
webapp.InstallationTypeChoice.siteName|Nom du site
webapp.InstallationTypeChoice.siteSerial|Identifiant de l'installation
webapp.InstallationTypeChoice.slaveSerial|N° de série de l'appareil
webapp.InstallationTypeChoice.slaveCode|Code de l'appareil
webapp.RegisterForm.login|Identifiant de connexion
webapp.RegisterForm.register|S'enregistrer
webapp.RegisterForm.mail|Mail
webapp.RegisterForm.licenseCode|Code abonnement
webapp.RegisterForm.confirmation|Confirmation du mot de passe
webapp.RegisterForm.personalInformations|Informations Personnelles
webapp.RegisterForm.accountInformations|Paramètres du compte
webapp.RegisterForm.siteInformations|Informations du site
webapp.LoginForm.ERROR|Une erreur est survenue lors de la connexion. Veuillez contacter votre administrateur.
webapp.LoginForm.USER_INACTIVE|Votre accès est désactivé. Veuillez contacter votre administrateur.
webapp.LoginForm.connexion|Connexion
webapp.LoginForm.title|Connexion
webapp.LoginForm.register|Créer un compte
webapp.LoginForm.errorFieldsMandatory|Tous les champs sont obligatoire
webapp.LoginForm.errorWrongLogin|Identifiant ou mot de passe incorrect
webapp.LoginForm.activationError|Une erreur est survenue durant l'activation
webapp.LoginForm.activationSuccess|Votre compte est maintenant activé. Vous pouvez vous connecter.
webapp.LoginForm.registerSuccess|Votre inscription a bien été prise en compte
webapp.LoginForm.lostPasswordSuccess|Un email contenant votre nouveau mot de passe a été envoyé à l'adresse
webapp.LoginForm.lostPassword|Identifiant ou mot de passe oublié
webapp.Menu.events|Journal des événements
webapp.Menu.reporting|Exporter
webapp.Menu.unload|Déchargement
webapp.Menu.informations|Informations
webapp.Menu.settings|Paramètres
webapp.Menu.logoff|Déconnexion
webapp.Menu.configuration|Configuration
webapp.Menu.configure|Configuration
webapp.SettingsPage.settings|Paramètres
webapp.InformationsPage.informations|Informations
webapp.InformationsPage.version|Version
webapp.InformationsPage.documentation|Notice
webapp.InformationsPage.documentationLink|Télécharger la notice
webapp.SettingsUserAccessPage.title|Gestion des accès utilisateurs
webapp.SettingsAccountPage.title|Mon Compte
webapp.SettingsLicensePage.title|Abonnement
webapp.SettingsLicensePage.renewLicenseTitle|Abonnement
webapp.SettingsLicensePage.renewLicenseSubtitle|Veuillez rentrer votre nouveau code d'abonnement
webapp.SettingsLicensePage.licenseCode|Code d'abonnement
webapp.SettingsLicensePage.licenseRenewSuccess|Votre nouvel abonnement est maintenant actif
webapp.SettingsUserPage.title|Gestion des utilisateurs
webapp.SettingsUserPage.addUserTitle|Ajout d'un utilisateur
webapp.SettingsUserPage.addUserSubtitle|Veuillez renseigner les champs suivants
webapp.SettingsUserPage.login|Identifiant de connexion
webapp.SettingsProfilePage.title|Gestion des profils
webapp.SettingsProfilePage.addProfileTitle|Ajout d'un profil
webapp.SettingsProfilePage.addProfileSubtitle|Veuillez renseigner les champs suivants
webapp.UserList.login|Utilisateurs
webapp.UserList.role|Groupe
webapp.UserList.userSelection|Sélection d'un utilisateur
webapp.ProfileList.profiles|Profils
webapp.ProfileList.profileSelection|Sélection d'un profil
webapp.UserDetail.informations|Information du compte
webapp.UserDetail.active|Compte actif
webapp.UserDetail.defaultProfile|Profil par défaut
webapp.UserDetail.sites|Sites accessibles
webapp.UserDetail.accesses|Accès
webapp.UserDetail.defaultZone|Zone non définie
webapp.UserDetail.MODIFY_SUCCESS|Utilisateur modifié avec succés
webapp.UserDetail.DELETE_SUCCESS|Utilisateur supprimé avec succés
webapp.UserDetail.ADD_SUCCESS|Utilisateur ajouté avec succés
webapp.UserDetail.confirmDelete|Etes-vous sûr de vouloir supprimer cet utilisateur ?
webapp.UserDetail.updatePassword|Modifier le mot de passe
webapp.UserDetail.updatePasswordTitle|Modification du mot de passe
webapp.AccountDetail.informations|Information du compte
webapp.AccountDetail.mail|Adresse mail
webapp.AccountDetail.UPDATE_SUCCESS|Utilisateur modifié avec succés
webapp.AccountDetail.updatePassword|Modifier le mot de passe
webapp.AccountDetail.updatePasswordTitle|Modification du mot de passe
webapp.ProfileDetail.informations|Information du profil
webapp.ProfileDetail.active|Profil actif
webapp.ProfileDetail.sites|Sites accessibles
webapp.ProfileDetail.accessType|Type d'accès
